OMRÅDE,KØN,ALDER,HERKOMST,TID,INDHOLD
All Denmark,Total,0 years,Immigrants from non-western countries,2008Q1,98
All Denmark,Total,1 year,Immigrants from non-western countries,2008Q1,288
All Denmark,Total,10 years,Immigrants from non-western countries,2008Q1,1426
All Denmark,Total,100 years,Immigrants from non-western countries,2008Q1,1
All Denmark,Total,101 years,Immigrants from non-western countries,2008Q1,2
All Denmark,Total,11 years,Immigrants from non-western countries,2008Q1,1651
All Denmark,Total,12 years,Immigrants from non-western countries,2008Q1,1755
All Denmark,Total,13 years,Immigrants from non-western countries,2008Q1,1964
All Denmark,Total,14 years,Immigrants from non-western countries,2008Q1,1995
All Denmark,Total,15 years,Immigrants from non-western countries,2008Q1,2366
All Denmark,Total,16 years,Immigrants from non-western countries,2008Q1,2604
All Denmark,Total,17 years,Immigrants from non-western countries,2008Q1,3065
All Denmark,Total,18 years,Immigrants from non-western countries,2008Q1,3223
All Denmark,Total,19 years,Immigrants from non-western countries,2008Q1,3451
All Denmark,Total,2 years,Immigrants from non-western countries,2008Q1,326
All Denmark,Total,20 years,Immigrants from non-western countries,2008Q1,3898
All Denmark,Total,21 years,Immigrants from non-western countries,2008Q1,4337
All Denmark,Total,22 years,Immigrants from non-western countries,2008Q1,4720
All Denmark,Total,23 years,Immigrants from non-western countries,2008Q1,4967
All Denmark,Total,24 years,Immigrants from non-western countries,2008Q1,5098
All Denmark,Total,25 years,Immigrants from non-western countries,2008Q1,5251
All Denmark,Total,26 years,Immigrants from non-western countries,2008Q1,5291
All Denmark,Total,27 years,Immigrants from non-western countries,2008Q1,5401
All Denmark,Total,28 years,Immigrants from non-western countries,2008Q1,5365
All Denmark,Total,29 years,Immigrants from non-western countries,2008Q1,5661
All Denmark,Total,3 years,Immigrants from non-western countries,2008Q1,320
All Denmark,Total,30 years,Immigrants from non-western countries,2008Q1,5568
All Denmark,Total,31 years,Immigrants from non-western countries,2008Q1,5597
All Denmark,Total,32 years,Immigrants from non-western countries,2008Q1,5601
All Denmark,Total,33 years,Immigrants from non-western countries,2008Q1,5926
All Denmark,Total,34 years,Immigrants from non-western countries,2008Q1,5827
All Denmark,Total,35 years,Immigrants from non-western countries,2008Q1,5880
All Denmark,Total,36 years,Immigrants from non-western countries,2008Q1,5543
All Denmark,Total,37 years,Immigrants from non-western countries,2008Q1,6410
All Denmark,Total,38 years,Immigrants from non-western countries,2008Q1,6247
All Denmark,Total,39 years,Immigrants from non-western countries,2008Q1,6271
All Denmark,Total,4 years,Immigrants from non-western countries,2008Q1,352
